"fch","pr01.0pri","se02.0mrn","se03.0mrn","se04.0mrn","in04.1mrn","se05.0mrn","se06.0pan","se07.0pri","se07.1pes","se08.0pt","se08.1pan","in09.0mrn","in10.0mrn","in11.0mrn","in12.0mrn","in13.0mrn","in14.0mrn","in15.0pan","in16.0pan","in17.0pan","in17.1mc","in18.0pes","in19.0pes","in20.0ver","in20.1pt","junta.mrn","junta.jhh"
2019-06-12,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-13,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-14,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-15,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-16,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-17,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-18,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-19,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-20,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-21,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-22,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-23,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-24,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-25,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-26,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-27,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-28,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-29,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-06-30,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-01,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-02,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-03,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-04,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-05,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-06,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-07,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-08,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-09,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-10,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-11,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-12,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-13,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-14,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-15,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-16,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-17,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-18,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-19,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-20,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-21,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-22,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-23,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-24,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-25,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-26,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-27,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-28,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-29,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-30,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-07-31,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-01,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-02,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-03,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-04,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-05,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-06,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-07,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-08,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-09,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-10,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-11,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-12,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-13,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-14,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-15,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-16,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-17,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2019-08-18,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","NORIEGA","VILLARREAL.PAS","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","NORIEGA","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
